days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
225	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	146300	40000	-9999	-9999
242	8.9770668	2.50454959	-3.7619628	1.46789318	5.215104	0.36656416	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
243	10.8262444	1.67166132	-6.8345644	1.9357718	3.99168	0.380117043	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
244	7.5218293	2.75377444	-3.0584053	1.18076739	4.463424	1.57522247	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
271	6.7546483	1.70226963	-3.7257112	1.89874005	3.028937	0.493847768	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
272	9.8141029	1.21293784	-8.1697381	1.29339848	1.644365	0.238764333	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
299	6.7010763	0.88229589	-5.8586763	0.95922679	0.8424	0.240241721	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
365	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	149	15.09
502	9.8563689	1.21021976	-8.8009065	1.31754788	1.055462	0.114008721	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
530	8.7717836	1.37745881	-4.7464076	1.29245621	4.025376	0.424318132	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
565	13.1514401	3.0947354	-8.5394081	3.02635509	4.612032	0.627702273	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
636	7.0086776	2.48723153	-4.0878639	2.50256199	2.920814	1.435693044	463.6372	30	350.31	51.36080682	453.9028	30	54.46	44.40359275	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
671	3.3453888	0.55172634	-2.2360128	0.92489108	1.109376	0.411441118	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
731	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	144	9.56
852	3.4437894	1.2932513	-3.4774854	0.879754	0.0518	0.58650265	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
913	11.9163882	3.20358785	-6.7185642	2.51823901	5.197824	1.704742196	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
934	10.6195466	1.25469528	-6.2886849	1.98373795	4.330862	0.682314036	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
